Country Origin Name	Country Origin Code	Migration by Gender Name	Migration by Gender Code	Country Dest Name	Country Dest Code	Year	Year Code	Value
Afghanistan	AFG	Total	TOT	Afghanistan	AFG	2000	2000	0
Afghanistan	AFG	Total	TOT	Albania	ALB	2000	2000	0
Afghanistan	AFG	Total	TOT	Algeria	DZA	2000	2000	8
Afghanistan	AFG	Total	TOT	American Samoa	ASM	2000	2000	0
Afghanistan	AFG	Total	TOT	Andorra	AND	2000	2000	6
Afghanistan	AFG	Total	TOT	Angola	AGO	2000	2000	0
Afghanistan	AFG	Total	TOT	Anguilla	AIA	2000	2000	0
Afghanistan	AFG	Total	TOT	Antigua and Barbuda	ATG	2000	2000	0
Afghanistan	AFG	Total	TOT	Argentina	ARG	2000	2000	0
Afghanistan	AFG	Total	TOT	Armenia	ARM	2000	2000	7
Afghanistan	AFG	Total	TOT	Aruba	ABW	2000	2000	0
Afghanistan	AFG	Total	TOT	Australia	AUS	2000	2000	11128
Afghanistan	AFG	Total	TOT	Austria	AUT	2000	2000	2488
Afghanistan	AFG	Total	TOT	Azerbaijan	AZE	2000	2000	0
Afghanistan	AFG	Total	TOT	Bahamas, The	BHS	2000	2000	0
Afghanistan	AFG	Total	TOT	Bahrain	BHR	2000	2000	34419
Afghanistan	AFG	Total	TOT	Bangladesh	BGD	2000	2000	158
Afghanistan	AFG	Total	TOT	Barbados	BRB	2000	2000	0
Afghanistan	AFG	Total	TOT	Belarus	BLR	2000	2000	0
Afghanistan	AFG	Total	TOT	Belgium	BEL	2000	2000	209
Afghanistan	AFG	Total	TOT	Belize	BLZ	2000	2000	3
Afghanistan	AFG	Total	TOT	Benin	BEN	2000	2000	0
Afghanistan	AFG	Total	TOT	Bermuda	BMU	2000	2000	4
Afghanistan	AFG	Total	TOT	Bhutan	BTN	2000	2000	0
Afghanistan	AFG	Total	TOT	Bolivia	BOL	2000	2000	2
Afghanistan	AFG	Total	TOT	Bosnia and Herzegovina	BIH	2000	2000	2
Afghanistan	AFG	Total	TOT	Botswana	BWA	2000	2000	0
Afghanistan	AFG	Total	TOT	Brazil	BRA	2000	2000	28
Afghanistan	AFG	Total	TOT	Brunei Darussalam	BRN	2000	2000	0
Afghanistan	AFG	Total	TOT	Bulgaria	BGR	2000	2000	826
Afghanistan	AFG	Total	TOT	Burkina Faso	BFA	2000	2000	0
Afghanistan	AFG	Total	TOT	Burundi	BDI	2000	2000	0
Afghanistan	AFG	Total	TOT	Cambodia	KHM	2000	2000	3
Afghanistan	AFG	Total	TOT	Cameroon	CMR	2000	2000	0
Afghanistan	AFG	Total	TOT	Canada	CAN	2000	2000	21969
Afghanistan	AFG	Total	TOT	Cape Verde	CPV	2000	2000	0
Afghanistan	AFG	Total	TOT	Cayman Islands	CYM	2000	2000	0
Afghanistan	AFG	Total	TOT	Central African Republic	CAF	2000	2000	0
Afghanistan	AFG	Total	TOT	Chad	TCD	2000	2000	1
Afghanistan	AFG	Total	TOT	Channel Islands	CHI	2000	2000	..
Afghanistan	AFG	Total	TOT	Chile	CHL	2000	2000	14
Afghanistan	AFG	Total	TOT	China	CHN	2000	2000	66
Afghanistan	AFG	Total	TOT	Colombia	COL	2000	2000	93
Afghanistan	AFG	Total	TOT	Comoros	COM	2000	2000	0
Afghanistan	AFG	Total	TOT	Congo, Dem. Rep.	COD	2000	2000	3
Afghanistan	AFG	Total	TOT	Congo, Rep.	COG	2000	2000	0
Afghanistan	AFG	Total	TOT	Cook Islands	COK	2000	2000	0
Afghanistan	AFG	Total	TOT	Costa Rica	CRI	2000	2000	3
Afghanistan	AFG	Total	TOT	Cote d'Ivoire	CIV	2000	2000	0
Afghanistan	AFG	Total	TOT	Croatia	HRV	2000	2000	2
Afghanistan	AFG	Total	TOT	Cuba	CUB	2000	2000	0
Afghanistan	AFG	Total	TOT	Cyprus	CYP	2000	2000	4
