"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2005","Not applicable","Not applicable","Number","0.757956337486362"
"Afghanistan","1996","Not applicable","Not applicable","Number","0.632152143006301"
"Albania","2004","Not applicable","Not applicable","Number","6.69984258560325"
"Albania","2003","Not applicable","Not applicable","Number","6.09955762155776"
"Albania","2002","Not applicable","Not applicable","Number","5.81085474122165"
"Albania","2001","Not applicable","Not applicable","Number","5.18583773643369"
"Albania","2000","Not applicable","Not applicable","Number","5.19469387993634"
"Albania","1996","Not applicable","Not applicable","Number","1.60152054766878"
"Algeria","2004","Not applicable","Not applicable","Number","0.525246157384079"
"Algeria","2003","Not applicable","Not applicable","Number","0.501800743329986"
"Algeria","2002","Not applicable","Not applicable","Number","0.477494916509536"
"Algeria","2001","Not applicable","Not applicable","Number","0.452280878313959"
"Algeria","1998","Not applicable","Not applicable","Number","0.809541171290715"
"Algeria","1997","Not applicable","Not applicable","Number","0.616107219633393"
"Algeria","1996","Not applicable","Not applicable","Number","0.173853244009391"
"Andorra","1999","Not applicable","Not applicable","Number","30.3163511239787"
"Angola","2004","Not applicable","Not applicable","Number","0.0639569472530427"
"Angola","2003","Not applicable","Not applicable","Number","0.0658757188687822"
"Angola","2002","Not applicable","Not applicable","Number","0.0678557343659709"
"Angola","2001","Not applicable","Not applicable","Number","0.0698419177082017"
"Angola","2000","Not applicable","Not applicable","Number","0.0717874780527733"
"Angola","1998","Not applicable","Not applicable","Number","0.377156420118761"
"Angola","1997","Not applicable","Not applicable","Number","0.386022645014811"
"Angola","1996","Not applicable","Not applicable","Number","0.395444479595065"
"Anguilla","2004","Not applicable","Not applicable","Number","0"
"Anguilla","2003","Not applicable","Not applicable","Number","0"
"Anguilla","2002","Not applicable","Not applicable","Number","0"
"Anguilla","2001","Not applicable","Not applicable","Number","0"
"Anguilla","2000","Not applicable","Not applicable","Number","0"
"Antigua and Barbuda","2004","Not applicable","Not applicable","Number","24.6105382324711"
"Antigua and Barbuda","2003","Not applicable","Not applicable","Number","25.0686253619283"
"Antigua and Barbuda","2002","Not applicable","Not applicable","Number","25.5359354451552"
"Antigua and Barbuda","2001","Not applicable","Not applicable","Number","26.0125380433369"
"Argentina","2004","Not applicable","Not applicable","Number","4.79522199910251"
"Argentina","2003","Not applicable","Not applicable","Number","4.78882568048292"
"Argentina","2002","Not applicable","Not applicable","Number","3.26761148280118"
"Argentina","2001","Not applicable","Not applicable","Number","3.05839949447339"
"Argentina","2000","Not applicable","Not applicable","Number","2.95427284341335"
"Argentina","1999","Not applicable","Not applicable","Number","2.7941779740703"
"Argentina","1998","Not applicable","Not applicable","Number","2.76993225244298"
"Argentina","1997","Not applicable","Not applicable","Number","2.83003329968489"
"Argentina","1996","Not applicable","Not applicable","Number","5.13244442987574"
"Armenia","2004","Not applicable","Not applicable","Number","1.65186594777461"
"Armenia","2003","Not applicable","Not applicable","Number","2.30443570953575"
"Armenia","2002","Not applicable","Not applicable","Number","1.96711250178679"
"Armenia","2001","Not applicable","Not applicable","Number","1.95770380920219"
"Armenia","2000","Not applicable","Not applicable","Number","1.94678780012979"
"Armenia","1999","Not applicable","Not applicable","Number","2.25807107181924"
"Armenia","1998","Not applicable","Not applicable","Number","2.24437239652802"
"Armenia","1997","Not applicable","Not applicable","Number","2.54533155966146"
"Armenia","1996","Not applicable","Not applicable","Number","3.4612876997163"
"Aruba","2004","Not applicable","Not applicable","Number","90.8081929169609"
"Aruba","2003","Not applicable","Not applicable","Number","83.2431532506451"
"Aruba","2002","Not applicable","Not applicable","Number","85.1408016006471"
"Aruba","2001","Not applicable","Not applicable","Number","86.3576502083378"
"Aruba","2000","Not applicable","Not applicable","Number","87.8493383846703"
"Aruba","1996","Not applicable","Not applicable","Number","150.01500150015"
"Australia","2004","Not applicable","Not applicable","Number","2.44013052606774"
"Australia","2003","Not applicable","Not applicable","Number","2.46927354425868"
"Australia","2002","Not applicable","Not applicable","Number","2.55051603060538"
"Australia","2001","Not applicable","Not applicable","Number","2.633298472248"
"Australia","2000","Not applicable","Not applicable","Number","2.56025280667714"
"Australia","1999","Not applicable","Not applicable","Number","2.53698166095238"
"Australia","1998","Not applicable","Not applicable","Number","2.56554760330819"
"Australia","1997","Not applicable","Not applicable","Number","2.64835332146475"
"Australia","1996","Not applicable","Not applicable","Number","3.5536390931791"
"Austria","2004","Not applicable","Not applicable","Number","2.05976193271582"
"Austria","2003","Not applicable","Not applicable","Number","1.94834783756527"
"Austria","2002","Not applicable","Not applicable","Number","1.83559347918878"
"Austria","2001","Not applicable","Not applicable","Number","1.84338864973993"
"Austria","2000","Not applicable","Not applicable","Number","1.97253053970408"
"Austria","1999","Not applicable","Not applicable","Number","2.09952644563511"
"Austria","1998","Not applicable","Not applicable","Number","2.10084293233185"
"Austria","1997","Not applicable","Not applicable","Number","2.10175849187701"
"Austria","1996","Not applicable","Not applicable","Number","2.10507024743243"
"Azerbaijan","2003","Not applicable","Not applicable","Number","2.90340937685092"
"Azerbaijan","2002","Not applicable","Not applicable","Number","2.67348648765244"
"Azerbaijan","2001","Not applicable","Not applicable","Number","2.6864441053555"
"Azerbaijan","1999","Not applicable","Not applicable","Number","1.85418423248701"
"Azerbaijan","1998","Not applicable","Not applicable","Number","1.74353974934374"
"Azerbaijan","1996","Not applicable","Not applicable","Number","0.761254771164278"
"Bahamas","2004","Not applicable","Not applicable","Number","12.5261875608694"
"Bahamas","2003","Not applicable","Not applicable","Number","12.6830320056313"
"Bahamas","2002","Not applicable","Not applicable","Number","12.8453801590258"
"Bahamas","2001","Not applicable","Not applicable","Number","13.0151984980461"
"Bahamas","2000","Not applicable","Not applicable","Number","13.1947880587168"
"Bahamas","1996","Not applicable","Not applicable","Number","10.5185652676975"
"Bahrain","2004","Not applicable","Not applicable","Number","8.44839579044599"
"Bahrain","2003","Not applicable","Not applicable","Number","8.63070921414516"
"Bahrain","2002","Not applicable","Not applicable","Number","8.82364619531729"
"Bahrain","2001","Not applicable","Not applicable","Number","9.02410338012832"
"Bahrain","1996","Not applicable","Not applicable","Number","6.74541943861247"
"Bangladesh","2004","Not applicable","Not applicable","Number","0.132865420296904"
"Bangladesh","2003","Not applicable","Not applicable","Number","0.135371830035929"
"Bangladesh","2002","Not applicable","Not applicable","Number","0.137985110371703"
"Bangladesh","2001","Not applicable","Not applicable","Number","0.140679999285346"
"Bangladesh","1996","Not applicable","Not applicable","Number","0.286997906567459"
"Barbados","2004","Not applicable","Not applicable","Number","6.8751912162557"
"Barbados","2003","Not applicable","Not applicable","Number","6.90043024182558"
"Barbados","2002","Not applicable","Not applicable","Number","6.92688671076785"
"Barbados","2001","Not applicable","Not applicable","Number","6.95412710058102"
"Barbados","2000","Not applicable","Not applicable","Number","6.98233817558486"
"Barbados","1996","Not applicable","Not applicable","Number","7.10807833102321"
"Belarus","2004","Not applicable","Not applicable","Number","1.32008898212102"
"Belarus","2003","Not applicable","Not applicable","Number","2.12132718714136"
"Belarus","2002","Not applicable","Not applicable","Number","1.50746072461828"
"Belarus","2001","Not applicable","Not applicable","Number","1.39980304771119"
"Belarus","2000","Not applicable","Not applicable","Number","0.994808492401553"
"Belarus","1998","Not applicable","Not applicable","Number","1.97001363446436"
"Belarus","1997","Not applicable","Not applicable","Number","1.86312667368837"
"Belarus","1996","Not applicable","Not applicable","Number","0.781496430856957"
"Belgium","2004","Not applicable","Not applicable","Number","2.79931534538339"
"Belgium","2003","Not applicable","Not applicable","Number","2.81110117424543"
"Belgium","2002","Not applicable","Not applicable","Number","2.82344758332846"
"Belgium","2001","Not applicable","Not applicable","Number","2.73731467279851"
"Belgium","2000","Not applicable","Not applicable","Number","2.84506353026863"
"Belgium","1999","Not applicable","Not applicable","Number","2.75457106311293"
"Belgium","1998","Not applicable","Not applicable","Number","2.85904644688552"
"Belgium","1997","Not applicable","Not applicable","Number","2.96290941111879"
"Belgium","1996","Not applicable","Not applicable","Number","2.96839461204715"
"Belize","1996","Not applicable","Not applicable","Number","0"
"Benin","2004","Not applicable","Not applicable","Number","4.13419298607409"
"Benin","2003","Not applicable","Not applicable","Number","3.89369264496532"
"Benin","2002","Not applicable","Not applicable","Number","3.50391971819142"
"Benin","2001","Not applicable","Not applicable","Number","3.21712885190859"
"Benin","2000","Not applicable","Not applicable","Number","2.49058455264743"
"Benin","1999","Not applicable","Not applicable","Number","1.85475155246272"
"Benin","1996","Not applicable","Not applicable","Number","0.156007870909103"
"Bermuda","2004","Not applicable","Not applicable","Number","15.7927984838913"
"Bermuda","2003","Not applicable","Not applicable","Number","15.8624409124076"
"Bermuda","2002","Not applicable","Not applicable","Number","15.9352391879402"
"Bermuda","2001","Not applicable","Not applicable","Number","16.0115283003763"
